t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp
0;0.003;0.16;0.00297;0.1616;0;0.004;0.16;0.00404;0.16;0;0.005;0.16;0.00505;0.1584;0;0.006;0.16;0.006;0.16;0;0.007;0.16;0.007;0.16;0;0.16;0.003;0.1584;0.00297;0;0.16;0.004;0.1584;0.00404;0;0.16;0.005;0.1584;0.00505;0;0.16;0.006;0.1616;0.00606;0;0.16;0.007;0.1584;0.00693
0.001;0.003;0.16;0.00303;0.1584;0.001;0.004;0.16;0.004;0.1584;0.001;0.005;0.16;0.00495;0.1616;0.001;0.006;0.16;0.00594;0.16;0.001;0.007;0.16;0.00707;0.1584;0.001;0.16;0.003;0.16;0.003;0.001;0.16;0.004;0.1584;0.00404;0.001;0.16;0.005;0.1584;0.00495;0.001;0.16;0.006;0.1584;0.00606;0.001;0.16;0.007;0.1584;0.00707
0.002;0.003;0.16;0.00303;0.1616;0.002;0.004;0.16;0.00404;0.1616;0.002;0.005;0.16;0.00505;0.16;0.002;0.006;0.16;0.006;0.1584;0.002;0.007;0.16;0.007;0.1616;0.002;0.16;0.003;0.1616;0.00297;0.002;0.16;0.004;0.16;0.00396;0.002;0.16;0.005;0.16;0.00505;0.002;0.16;0.006;0.1616;0.00594;0.002;0.16;0.007;0.1616;0.007
0.003;0.003;0.16;0.003;0.1584;0.003;0.004;0.16;0.00396;0.16;0.003;0.005;0.16;0.005;0.1584;0.003;0.006;0.16;0.00594;0.1616;0.003;0.007;0.16;0.007;0.1616;0.003;0.16;0.003;0.1584;0.00303;0.003;0.16;0.004;0.16;0.004;0.003;0.16;0.005;0.1584;0.00495;0.003;0.16;0.006;0.1584;0.00606;0.003;0.16;0.007;0.1616;0.00707
0.004;0.003;0.16;0.003;0.1584;0.004;0.004;0.16;0.00396;0.1584;0.004;0.005;0.16;0.00505;0.16;0.004;0.006;0.16;0.006;0.1584;0.004;0.007;0.16;0.00707;0.1584;0.004;0.16;0.003;0.16;0.00297;0.004;0.16;0.004;0.1584;0.004;0.004;0.16;0.005;0.1584;0.005;0.004;0.16;0.006;0.1616;0.00606;0.004;0.16;0.007;0.1584;0.00707
0.005;0.003;0.16;0.00303;0.16;0.005;0.004;0.16;0.00396;0.1616;0.005;0.005;0.16;0.00505;0.1584;0.005;0.006;0.16;0.00594;0.1616;0.005;0.007;0.16;0.007;0.1584;0.005;0.16;0.003;0.1616;0.003;0.005;0.16;0.004;0.1584;0.00396;0.005;0.16;0.005;0.16;0.00495;0.005;0.16;0.006;0.16;0.00606;0.005;0.16;0.007;0.1584;0.00707
0.006;0.003;0.16;0.00303;0.16;0.006;0.004;0.16;0.00396;0.1584;0.006;0.005;0.16;0.005;0.16;0.006;0.006;0.16;0.00594;0.16;0.006;0.007;0.16;0.00707;0.1616;0.006;0.16;0.003;0.16;0.00303;0.006;0.16;0.004;0.16;0.00404;0.006;0.16;0.005;0.16;0.005;0.006;0.16;0.006;0.1584;0.006;0.006;0.16;0.007;0.1584;0.00693
0.007;0.003;0.16;0.00303;0.1616;0.007;0.004;0.16;0.004;0.1584;0.007;0.005;0.16;0.005;0.1584;0.007;0.006;0.16;0.006;0.1616;0.007;0.007;0.16;0.00693;0.1616;0.007;0.16;0.003;0.1616;0.00303;0.007;0.16;0.004;0.16;0.004;0.007;0.16;0.005;0.1584;0.00495;0.007;0.16;0.006;0.1584;0.006;0.007;0.16;0.007;0.16;0.00693
0.008;0.003;0.16;0.003;0.16;0.008;0.004;0.16;0.00396;0.16;0.008;0.005;0.16;0.00505;0.1616;0.008;0.006;0.16;0.00594;0.1584;0.008;0.007;0.16;0.00693;0.1616;0.008;0.16;0.003;0.1584;0.00303;0.008;0.16;0.004;0.16;0.00404;0.008;0.16;0.005;0.1616;0.00505;0.008;0.16;0.006;0.16;0.00594;0.008;0.16;0.007;0.1616;0.00693
0.009;0.003;0.16;0.00303;0.16;0.009;0.004;0.16;0.00396;0.1616;0.009;0.005;0.16;0.005;0.16;0.009;0.006;0.16;0.00606;0.1584;0.009;0.007;0.16;0.00707;0.1616;0.009;0.16;0.003;0.1616;0.00297;0.009;0.16;0.004;0.1616;0.004;0.009;0.16;0.005;0.1616;0.00495;0.009;0.16;0.006;0.1584;0.00606;0.009;0.16;0.007;0.1616;0.00693
0.01;0.003;0.16;0.00297;0.1616;0.01;0.004;0.16;0.00396;0.16;0.01;0.005;0.16;0.00495;0.16;0.01;0.006;0.16;0.00606;0.1584;0.01;0.007;0.16;0.007;0.1616;0.01;0.16;0.003;0.1584;0.00297;0.01;0.16;0.004;0.1584;0.004;0.01;0.16;0.005;0.16;0.00495;0.01;0.16;0.006;0.16;0.00606;0.01;0.16;0.007;0.1584;0.00693
0.011;0.003;0.16;0.00303;0.1616;0.011;0.004;0.16;0.00396;0.16;0.011;0.005;0.16;0.00505;0.1616;0.011;0.006;0.16;0.006;0.1584;0.011;0.007;0.16;0.00707;0.1584;0.011;0.16;0.003;0.1584;0.00297;0.011;0.16;0.004;0.16;0.004;0.011;0.16;0.005;0.1616;0.00505;0.011;0.16;0.006;0.1584;0.006;0.011;0.16;0.007;0.16;0.00707
0.012;0.003;0.16;0.00303;0.1584;0.012;0.004;0.16;0.004;0.1584;0.012;0.005;0.16;0.00505;0.1616;0.012;0.006;0.16;0.00594;0.16;0.012;0.007;0.16;0.007;0.1616;0.012;0.16;0.003;0.1584;0.00303;0.012;0.16;0.004;0.1584;0.004;0.012;0.16;0.005;0.16;0.005;0.012;0.16;0.006;0.1584;0.00606;0.012;0.16;0.007;0.1584;0.007
0.013;0.003;0.16;0.003;0.1584;0.013;0.004;0.16;0.00404;0.1584;0.013;0.005;0.16;0.005;0.16;0.013;0.006;0.16;0.00606;0.1616;0.013;0.007;0.16;0.007;0.1616;0.013;0.16;0.003;0.16;0.003;0.013;0.16;0.004;0.1584;0.00396;0.013;0.16;0.005;0.1584;0.00495;0.013;0.16;0.006;0.16;0.00594;0.013;0.16;0.007;0.16;0.00693
0.014;0.003;0.16;0.00297;0.1584;0.014;0.004;0.16;0.004;0.16;0.014;0.005;0.16;0.00495;0.1584;0.014;0.006;0.16;0.006;0.1616;0.014;0.007;0.16;0.00707;0.1584;0.014;0.16;0.003;0.1584;0.003;0.014;0.16;0.004;0.16;0.00404;0.014;0.16;0.005;0.1616;0.00495;0.014;0.16;0.006;0.1616;0.006;0.014;0.16;0.007;0.16;0.00707
0.015;0.003;0.16;0.00297;0.16;0.015;0.004;0.16;0.004;0.1616;0.015;0.005;0.16;0.005;0.1584;0.015;0.006;0.16;0.00606;0.1616;0.015;0.007;0.16;0.00693;0.1616;0.015;0.16;0.003;0.1616;0.00297;0.015;0.16;0.004;0.1616;0.004;0.015;0.16;0.005;0.1616;0.00505;0.015;0.16;0.006;0.16;0.00606;0.015;0.16;0.007;0.16;0.00707
0.016;0.003;0.16;0.00303;0.16;0.016;0.004;0.16;0.00396;0.16;0.016;0.005;0.16;0.005;0.1616;0.016;0.006;0.16;0.00594;0.1584;0.016;0.007;0.16;0.00693;0.16;0.016;0.16;0.003;0.1616;0.00297;0.016;0.16;0.004;0.16;0.004;0.016;0.16;0.005;0.1616;0.005;0.016;0.16;0.006;0.16;0.00606;0.016;0.16;0.007;0.16;0.007
0.017;0.003;0.16;0.00303;0.16;0.017;0.004;0.16;0.00396;0.16;0.017;0.005;0.16;0.005;0.1616;0.017;0.006;0.16;0.006;0.16;0.017;0.007;0.16;0.007;0.1584;0.017;0.16;0.003;0.1584;0.00297;0.017;0.16;0.004;0.16;0.00396;0.017;0.16;0.005;0.16;0.00495;0.017;0.16;0.006;0.16;0.006;0.017;0.16;0.007;0.16;0.00707
0.018;0.003;0.16;0.00297;0.1584;0.018;0.004;0.16;0.004;0.1616;0.018;0.005;0.16;0.005;0.1616;0.018;0.006;0.16;0.006;0.1616;0.018;0.007;0.16;0.007;0.1584;0.018;0.16;0.003;0.1584;0.00297;0.018;0.16;0.004;0.16;0.00404;0.018;0.16;0.005;0.16;0.005;0.018;0.16;0.006;0.1584;0.00606;0.018;0.16;0.007;0.1616;0.00707
0.019;0.003;0.16;0.00297;0.1616;0.019;0.004;0.16;0.00404;0.1616;0.019;0.005;0.16;0.005;0.1616;0.019;0.006;0.16;0.00606;0.16;0.019;0.007;0.16;0.007;0.1584;0.019;0.16;0.003;0.1584;0.003;0.019;0.16;0.004;0.16;0.00396;0.019;0.16;0.005;0.1584;0.005;0.019;0.16;0.006;0.1616;0.006;0.019;0.16;0.007;0.16;0.007
0.02;0.003;0.16;0.00303;0.1584;0.02;0.004;0.16;0.00396;0.1616;0.02;0.005;0.16;0.00495;0.1616;0.02;0.006;0.16;0.00606;0.1616;0.02;0.007;0.16;0.007;0.16;0.02;0.16;0.003;0.1584;0.00303;0.02;0.16;0.004;0.1584;0.00396;0.02;0.16;0.005;0.1616;0.005;0.02;0.16;0.006;0.16;0.00594;0.02;0.16;0.007;0.1616;0.00707
0.021;0.003;0.16;0.00303;0.16;0.021;0.004;0.16;0.00396;0.1584;0.021;0.005;0.16;0.00495;0.1584;0.021;0.006;0.16;0.006;0.1616;0.021;0.007;0.16;0.00707;0.1584;0.021;0.16;0.003;0.1584;0.00297;0.021;0.16;0.004;0.1584;0.004;0.021;0.16;0.005;0.1616;0.005;0.021;0.16;0.006;0.1616;0.00606;0.021;0.16;0.007;0.1584;0.00693
0.022;0.003;0.16;0.00303;0.16;0.022;0.004;0.16;0.004;0.1616;0.022;0.005;0.16;0.005;0.1584;0.022;0.006;0.16;0.00594;0.1584;0.022;0.007;0.16;0.00693;0.1584;0.022;0.16;0.003;0.1616;0.00303;0.022;0.16;0.004;0.1616;0.00396;0.022;0.16;0.005;0.1584;0.00505;0.022;0.16;0.006;0.1616;0.006;0.022;0.16;0.007;0.1584;0.007
0.023;0.003;0.16;0.00303;0.16;0.023;0.004;0.16;0.004;0.16;0.023;0.005;0.16;0.00505;0.1584;0.023;0.006;0.16;0.00594;0.1584;0.023;0.007;0.16;0.00707;0.1616;0.023;0.16;0.003;0.1616;0.00303;0.023;0.16;0.004;0.1584;0.004;0.023;0.16;0.005;0.1616;0.005;0.023;0.16;0.006;0.1616;0.00606;0.023;0.16;0.007;0.16;0.00707
0.024;0.003;0.16;0.00297;0.1616;0.024;0.004;0.16;0.004;0.1616;0.024;0.005;0.16;0.00495;0.1584;0.024;0.006;0.16;0.00594;0.1584;0.024;0.007;0.16;0.00707;0.16;0.024;0.16;0.003;0.16;0.00303;0.024;0.16;0.004;0.16;0.004;0.024;0.16;0.005;0.1616;0.00505;0.024;0.16;0.006;0.1584;0.00606;0.024;0.16;0.007;0.16;0.00693
0.025;0.003;0.16;0.00303;0.1616;0.025;0.004;0.16;0.00404;0.1584;0.025;0.005;0.16;0.00495;0.16;0.025;0.006;0.16;0.00606;0.16;0.025;0.006;0.159;0.00606;0.15741;0.025;0.16;0.003;0.16;0.00297;0.025;0.16;0.004;0.1584;0.004;0.025;0.16;0.005;0.16;0.00505;0.025;0.16;0.006;0.1616;0.00594;0.025;0.159;0.006;0.16059;0.00594
0.026;0.003;0.16;0.003;0.16;0.026;0.004;0.16;0.00396;0.1584;0.026;0.005;0.16;0.00505;0.1616;0.026;0.006;0.16;0.006;0.16;0.026;0.006;0.159;0.006;0.15741;0.026;0.16;0.003;0.16;0.003;0.026;0.16;0.004;0.16;0.004;0.026;0.16;0.005;0.1584;0.00495;0.026;0.16;0.006;0.16;0.00606;0.026;0.159;0.006;0.16059;0.00594
0.027;0.003;0.16;0.003;0.1584;0.027;0.004;0.16;0.00404;0.16;0.027;0.005;0.16;0.005;0.16;0.027;0.006;0.16;0.00594;0.1616;0.027;0.006;0.159;0.006;0.159;0.027;0.16;0.003;0.1584;0.00303;0.027;0.16;0.004;0.1616;0.00404;0.027;0.16;0.005;0.1616;0.005;0.027;0.16;0.006;0.1616;0.00606;0.027;0.159;0.006;0.15741;0.00594
0.028;0.003;0.16;0.00297;0.16;0.028;0.004;0.16;0.004;0.1616;0.028;0.005;0.16;0.00505;0.16;0.028;0.006;0.16;0.006;0.1584;0.028;0.006;0.159;0.00594;0.16059;0.028;0.16;0.003;0.1584;0.003;0.028;0.16;0.004;0.1584;0.00396;0.028;0.16;0.005;0.1616;0.00505;0.028;0.16;0.006;0.1584;0.006;0.028;0.159;0.006;0.16059;0.00594
0.029;0.003;0.16;0.003;0.1584;0.029;0.004;0.16;0.004;0.16;0.029;0.005;0.16;0.00495;0.1584;0.029;0.005;0.159;0.00505;0.16059;0.029;0.006;0.159;0.006;0.16059;0.029;0.16;0.003;0.16;0.003;0.029;0.16;0.004;0.1584;0.00396;0.029;0.16;0.005;0.1616;0.005;0.029;0.159;0.005;0.159;0.00505;0.029;0.159;0.006;0.15741;0.006
0.03;0.003;0.16;0.00297;0.16;0.03;0.004;0.16;0.00404;0.1616;0.03;0.005;0.16;0.00495;0.1584;0.03;0.005;0.159;0.005;0.16059;0.03;0.006;0.159;0.00594;0.159;0.03;0.16;0.003;0.16;0.00297;0.03;0.16;0.004;0.16;0.00404;0.03;0.16;0.005;0.1584;0.005;0.03;0.159;0.005;0.15741;0.00495;0.03;0.159;0.006;0.15741;0.00594
0.031;0.003;0.16;0.003;0.16;0.031;0.004;0.16;0.00404;0.1584;0.031;0.005;0.16;0.00495;0.1616;0.031;0.005;0.159;0.00505;0.159;0.031;0.006;0.159;0.00606;0.159;0.031;0.16;0.003;0.1584;0.00297;0.031;0.16;0.004;0.1616;0.00396;0.031;0.16;0.005;0.1584;0.00495;0.031;0.159;0.005;0.16059;0.005;0.031;0.159;0.006;0.16059;0.00594
0.032;0.003;0.16;0.003;0.1616;0.032;0.004;0.16;0.004;0.1584;0.032;0.005;0.16;0.00505;0.16;0.032;0.005;0.159;0.00505;0.159;0.032;0.006;0.159;0.006;0.15741;0.032;0.16;0.003;0.16;0.00297;0.032;0.16;0.004;0.16;0.00404;0.032;0.16;0.005;0.1584;0.00505;0.032;0.159;0.005;0.159;0.00505;0.032;0.159;0.006;0.16059;0.00594
0.033;0.003;0.16;0.00297;0.1584;0.033;0.004;0.16;0.004;0.16;0.033;0.005;0.16;0.005;0.1616;0.033;0.005;0.159;0.00495;0.16059;0.033;0.006;0.159;0.00594;0.159;0.033;0.16;0.003;0.1616;0.00303;0.033;0.16;0.004;0.16;0.00404;0.033;0.16;0.005;0.16;0.00495;0.033;0.159;0.005;0.159;0.005;0.033;0.159;0.006;0.16059;0.00606
0.034;0.003;0.16;0.00303;0.1616;0.034;0.004;0.16;0.00396;0.1616;0.034;0.005;0.16;0.00505;0.16;0.034;0.005;0.159;0.005;0.15741;0.034;0.006;0.159;0.00594;0.15741;0.034;0.16;0.003;0.1584;0.003;0.034;0.16;0.004;0.16;0.00404;0.034;0.16;0.005;0.16;0.00495;0.034;0.159;0.005;0.16059;0.00495;0.034;0.159;0.006;0.16059;0.00606
0.035;0.003;0.16;0.003;0.1616;0.035;0.004;0.16;0.00404;0.16;0.035;0.004;0.159;0.004;0.16059;0.035;0.005;0.159;0.00495;0.15741;0.035;0.006;0.159;0.006;0.16059;0.035;0.16;0.003;0.1584;0.00303;0.035;0.16;0.004;0.1584;0.004;0.035;0.159;0.004;0.15741;0.004;0.035;0.159;0.005;0.15741;0.005;0.035;0.159;0.006;0.159;0.00594
