Длина волны;1 к 1;1 к 2;1 к 3;1 к 4;1 к 5;латекс;канифоль
300;0.756;0.58757;0.48495;0.41573;0.36705;2.96269;1.85005
301;0.74284;0.57729;0.47737;0.40843;0.36136;2.75078;1.8387
302;0.73215;0.56924;0.47087;0.40192;0.35547;2.69983;1.83229
303;0.72263;0.56012;0.46291;0.39667;0.3506;2.69258;1.80418
304;0.71165;0.55179;0.45514;0.39014;0.34563;2.69505;1.78548
305;0.70226;0.54462;0.44868;0.38527;0.34117;2.85612;1.78673
306;0.69118;0.53665;0.44241;0.37933;0.33647;2.86008;1.76245
307;0.68352;0.52867;0.43655;0.37407;0.33208;3.06433;1.73793
308;0.67532;0.52243;0.42967;0.37047;0.32825;2.65829;1.73543
309;0.66663;0.5164;0.42502;0.36533;0.3243;2.77692;1.70604
310;0.65863;0.50905;0.4193;0.3607;0.32074;3.03198;1.68901
311;0.64967;0.5031;0.41454;0.35712;0.31686;2.78934;1.69066
312;0.64378;0.49698;0.40869;0.35272;0.3131;2.85716;1.66875
313;0.63528;0.49063;0.4044;0.34843;0.30945;2.75929;1.64926
314;0.627;0.48399;0.39886;0.34438;0.30525;2.6301;1.65022
315;0.61967;0.47627;0.3932;0.33859;0.30147;2.61407;1.62057
316;0.61113;0.47063;0.38834;0.33395;0.29803;2.67065;1.60202
317;0.60298;0.4655;0.38344;0.33105;0.29362;2.60831;1.58907
318;0.59662;0.45808;0.37781;0.32512;0.29042;2.68414;1.571
319;0.58913;0.4529;0.37334;0.3217;0.2863;2.66727;1.55624
320;0.58252;0.44661;0.3681;0.3159;0.28271;2.79402;1.53214
321;0.57498;0.44093;0.36227;0.31166;0.27887;2.8026;1.52458
322;0.56749;0.43497;0.35675;0.30804;0.27507;2.78911;1.52361
323;0.55994;0.42973;0.3526;0.30338;0.27116;2.4976;1.49515
324;0.55295;0.42451;0.34825;0.30031;0.26755;2.63353;1.47835
325;0.5451;0.41861;0.34308;0.29631;0.26416;2.60274;1.45554
326;0.54089;0.4128;0.33809;0.2917;0.26077;2.69748;1.46062
327;0.53281;0.40762;0.33366;0.28827;0.25769;2.60228;1.44189
328;0.5265;0.40181;0.33038;0.28485;0.25378;2.57458;1.4308
329;0.51917;0.39651;0.32524;0.28116;0.25049;2.4861;1.41425
330;0.51393;0.39117;0.32104;0.27664;0.24742;2.55194;1.40324
331;0.50714;0.38661;0.31604;0.27237;0.24342;2.55452;1.38991
332;0.50128;0.38062;0.31168;0.26906;0.23979;2.62086;1.37431
333;0.49548;0.37595;0.30771;0.26457;0.23624;2.51611;1.36311
334;0.48923;0.37039;0.30334;0.26064;0.23251;2.54846;1.34714
335;0.48257;0.36539;0.29785;0.25723;0.22914;2.44467;1.3371
336;0.47626;0.36021;0.29414;0.2538;0.22711;2.43568;1.32475
337;0.47014;0.35551;0.29016;0.24962;0.22371;2.46156;1.30171
338;0.46613;0.35103;0.28532;0.24683;0.22041;2.41672;1.29514
339;0.45865;0.34666;0.28256;0.24332;0.2178;2.3812;1.28438
340;0.45358;0.34068;0.27776;0.23932;0.21391;2.38234;1.27676
341;0.44952;0.33772;0.27473;0.23715;0.21185;2.37444;1.26198
342;0.44333;0.33424;0.27214;0.23445;0.20886;2.37447;1.25632
343;0.43932;0.33058;0.26833;0.23105;0.20665;2.29196;1.24174
344;0.4346;0.32626;0.26532;0.22734;0.20392;2.33383;1.23599
345;0.43062;0.32191;0.26201;0.22519;0.20163;2.28999;1.22321
346;0.42545;0.31892;0.25931;0.22296;0.19885;2.31538;1.21014
347;0.41949;0.31483;0.25525;0.22;0.19604;2.35062;1.20412
348;0.41457;0.31062;0.25273;0.21632;0.19411;2.22432;1.19107
349;0.41145;0.30646;0.24905;0.21358;0.19197;2.241;1.18393
350;0.40674;0.30307;0.2467;0.21138;0.18889;2.22061;1.174
351;0.40164;0.29915;0.24289;0.20949;0.18732;2.21309;1.16356
352;0.39769;0.2964;0.24132;0.20644;0.18549;2.2092;1.15178
353;0.39372;0.29268;0.23755;0.20453;0.18242;2.14388;1.14096
354;0.38898;0.28999;0.23499;0.20215;0.1805;2.15179;1.12976
355;0.38525;0.28647;0.2318;0.19939;0.17787;2.11049;1.12321
356;0.38091;0.28275;0.23;0.1964;0.17619;2.14041;1.11771
357;0.37791;0.27974;0.22659;0.19446;0.17366;2.16066;1.11082
358;0.37299;0.2775;0.22392;0.19289;0.17137;2.06805;1.09596
359;0.3685;0.2724;0.22124;0.19014;0.17;2.052;1.09451
360;0.36598;0.27017;0.21875;0.18787;0.16795;2.03154;1.08362
361;0.36266;0.2679;0.21581;0.18593;0.16661;1.99878;1.07774
362;0.35716;0.26514;0.2131;0.18315;0.16441;2.01932;1.07077
363;0.35349;0.26146;0.21024;0.18172;0.16257;1.99251;1.05276
364;0.34987;0.258;0.20805;0.17941;0.16032;1.99178;1.04504
365;0.34595;0.25513;0.20563;0.17625;0.15753;1.95123;1.03076
366;0.34186;0.25212;0.20352;0.17432;0.1559;1.91968;1.02243
367;0.33855;0.24951;0.20073;0.17189;0.15446;1.92447;1.01347
368;0.33527;0.24707;0.19814;0.17017;0.15222;1.90715;1.00571
369;0.33177;0.24422;0.19638;0.1682;0.14989;1.88281;0.99776
370;0.32838;0.24103;0.19324;0.1657;0.1481;1.88193;0.99043
371;0.32506;0.2388;0.19089;0.1636;0.14601;1.86029;0.98329
372;0.32162;0.23602;0.18855;0.16154;0.1441;1.8437;0.97456
373;0.3181;0.23299;0.18604;0.15938;0.14226;1.82687;0.96638
